"","acc_base_gps","acc_coarse","acc_summary_mean","acc_summary_var","acc_summary_med","acc_summary_stats","acc_summary_density","acc_summary_quantile"
"1",0.642777777777778,0.637222222222222,1,0.997777777777778,1,1,0.999444444444444,0.999444444444444
"2",0.622777777777778,0.624444444444444,1,1,1,1,0.999444444444444,0.999444444444444
"3",0.617777777777778,0.618333333333333,1,1,1,1,0.999444444444444,0.999444444444444
"4",0.650555555555556,0.837222222222222,1,0.999444444444444,0.999444444444444,1,0.838888888888889,1
"5",0.650555555555556,0.647777777777778,0.999444444444444,0.998333333333333,0.998888888888889,1,0.999444444444444,1
"6",0.603888888888889,0.603888888888889,1,0.998888888888889,1,1,1,1
"7",0.635555555555556,0.637777777777778,1,1,1,1,0.999444444444444,1
"8",0.636111111111111,0.637222222222222,1,0.999444444444444,1,1,0.999444444444444,1
"9",0.615555555555556,0.616111111111111,1,0.998333333333333,1,1,0.999444444444444,1
"10",0.692222222222222,0.695555555555556,1,0.999444444444444,1,1,0.999444444444444,1
"11",0.613333333333333,0.633888888888889,1,0.999444444444444,1,1,0.973888888888889,1
"12",0.63,0.628888888888889,1,1,1,1,1,1
"13",0.628333333333333,0.642777777777778,1,1,1,1,0.981666666666667,1
"14",0.637777777777778,0.643333333333333,1,1,1,1,0.999444444444444,0.998888888888889
"15",0.606111111111111,0.602222222222222,1,0.999444444444444,1,0.999444444444444,0.998888888888889,1
"16",0.613333333333333,0.616111111111111,1,1,1,1,1,0.999444444444444
"17",0.712222222222222,0.713888888888889,1,0.999444444444444,1,1,0.999444444444444,1
"18",0.665555555555556,0.655555555555556,1,1,1,1,0.999444444444444,0.998333333333333
"19",0.727777777777778,0.725,1,0.998888888888889,1,1,0.998888888888889,1
"20",0.665,0.673888888888889,1,1,1,1,1,1
