"","acc_base_gps","acc_coarse","acc_summary_mean","acc_summary_var","acc_summary_med","acc_summary_stats","acc_summary_density","acc_summary_quantile"
"1",0.856666666666667,0.79,1,0.996666666666667,1,1,1,1
"2",0.636666666666667,0.836666666666667,1,1,1,1,1,1
"3",0.62,0.633333333333333,1,1,1,1,1,1
"4",0.706666666666667,0.853333333333333,1,1,1,1,1,0.99
"5",0.603333333333333,0.86,1,0.996666666666667,1,1,1,1
"6",0.78,0.646666666666667,1,0.996666666666667,1,1,1,1
"7",0.74,0.873333333333333,1,1,0.873333333333333,1,0.996666666666667,1
"8",0.866666666666667,0.796666666666667,1,1,1,1,1,1
"9",0.61,0.63,1,0.993333333333333,1,1,1,1
"10",0.63,0.626666666666667,1,1,1,1,1,1
"11",0.783333333333333,0.863333333333333,1,1,1,1,0.996666666666667,1
"12",0.743333333333333,0.63,1,0.996666666666667,1,1,1,1
"13",0.823333333333333,0.823333333333333,1,1,1,1,1,1
"14",0.85,0.666666666666667,1,0.996666666666667,0.996666666666667,1,0.996666666666667,1
"15",0.693333333333333,0.696666666666667,1,0.926666666666667,1,1,1,1
"16",0.85,0.91,1,1,1,1,1,1
"17",0.87,0.823333333333333,1,1,1,1,1,1
"18",0.723333333333333,0.746666666666667,1,1,1,1,0.996666666666667,1
"19",0.646666666666667,0.856666666666667,1,0.996666666666667,1,0.993333333333333,0.996666666666667,1
"20",0.856666666666667,0.853333333333333,1,0.966666666666667,1,1,1,1
