"","scenario","iteration","mu_step1","mu_step2","mu_step3","sig_step1","sig_step2","sig_step3","mu_angle1","mu_angle2","mu_angle3","kappa1","kappa2","kappa3","mu_acc1","mu_acc2","mu_acc3","sd_acc1","sd_acc2","sd_acc3"
"1","base_gps",1,225.953103557196,14.704507211227,0.945271205907496,109.152985084784,2.4494352517424,0.498924716625128,0.969882034080648,5.30583173183537,1.56303643591376,1.35904644689256e-06,1e-06,0.151560769480065,NA,NA,NA,NA,NA,NA
"2","base_gps",2,307.117356699552,150.510385433254,0.970042110034597,65.473710310427,74.1430927515833,0.58805551977635,0.443558084006844,-1.00860549477018,-3.03364708204506,0.339883340568756,0.260870082962881,0.168303120294104,NA,NA,NA,NA,NA,NA
"3","base_gps",3,283.177098866847,157.827524234468,0.977584917630721,61.073826321321,90.4828058817008,0.552337471561175,-5.93126666997386,3.67969376537838,0.32092530649013,0.484474353102765,0.269749586208112,0.0243027937225733,NA,NA,NA,NA,NA,NA
"4","base_gps",4,287.507168390841,151.236004015426,0.982171612277054,69.1412247787502,88.8637328576644,0.604519157318939,0.271014845689278,1.09628720316093,-5.72777916048985,0.301414676505655,0.199763376071852,0.113156876678179,NA,NA,NA,NA,NA,NA
"5","base_gps",5,313.385595244791,162.687223076639,0.959998704268252,51.8490648967618,91.978856533506,0.502870715163889,4.20082902372763,-0.15245424992019,2.76183473808208,0.169926251643619,0.576375908916513,0.056602622920192,NA,NA,NA,NA,NA,NA
"6","base_gps",6,262.294267096703,110.91729931298,0.938693578377345,85.1009678971295,63.3987526716722,0.515467250023822,-0.499201669492035,2.60282779896815,0.805184581963921,1e-06,0.170878378720814,2.9550985357316e-05,NA,NA,NA,NA,NA,NA
"7","base_gps",7,272.6644255823,103.835376261272,1.01115112023431,76.7333384654355,44.4553981809827,0.607656657070205,0.349273970821475,0.749956908697647,0.553660492288106,0.0893076122204312,0.309973732179332,0.290633093285539,NA,NA,NA,NA,NA,NA
"8","base_gps",8,230.769788323422,1.03298889903586,1.03298889903586,106.368769099264,1.44542579506229,0.461116343419332,-0.297911115743963,2.23374655112096,-2.12719345347054,0.128373545917257,10000,0.0209822378111921,NA,NA,NA,NA,NA,NA
"9","base_gps",9,308.042759581255,181.70480290356,0.953733070015797,51.4072895152532,93.8546472460189,0.556776596873804,0.439462642225178,-1.27142899419054,-0.573685701797336,0.435402093358204,0.331473815673938,0.170562077083692,NA,NA,NA,NA,NA,NA
"10","base_gps",10,291.416644962821,143.600209447108,0.900508255370336,55.503641780899,73.7377621109352,0.532077458929342,0.362934725702294,0.619111038550657,1.27818984007425,0.156437481551701,0.207070620502374,0.176362875650398,NA,NA,NA,NA,NA,NA
"11","base_gps",11,355.963144042984,202.727139960115,1.02892555916595,30.2659328449302,92.3264769681363,0.570815963529138,1.81031906638697,-0.618733269028385,3.68724827102941,0.623818744444962,0.280837306041201,0.166479090625168,NA,NA,NA,NA,NA,NA
"12","base_gps",12,262.866905627858,141.433119771191,0.969292084067572,85.0158763781866,78.9478179085476,0.583746214605479,0.0449625787561768,2.47062865893793,-1.57868040850579,0.299898607068751,0.651909077063654,0.0303848612008204,NA,NA,NA,NA,NA,NA
"13","base_gps",13,239.047847368273,46.9047076410055,1.03115089402921,90.9583361453879,12.4471595638239,0.621689749554244,0.00895542780246111,3.86524331350778,0.0197337934986362,0.22091591510176,0.177236412187079,0.154756575610563,NA,NA,NA,NA,NA,NA
"14","base_gps",14,276.563767293929,210.847220614871,0.968338241437988,51.4138132554457,104.628191069883,0.55344135703176,2.28383459805152,-0.57319677437243,9.76058677363523,92.6540302135252,0.137833016275953,1e-06,NA,NA,NA,NA,NA,NA
"15","base_gps",15,265.116324515679,140.982404173777,0.955749537947967,74.1896853494245,88.0907525199302,0.523238756259374,1.5370064001755,-1.38105057380956,-1.39494748243647,0.28164040167097,0.295828579041519,0.211443334296111,NA,NA,NA,NA,NA,NA
"16","base_gps",16,226.309448233567,1.04967808550149,0.527242232073224,106.434788043528,0.497964594693779,0.419652266253004,-0.145785554307344,-3.98033002458303,-1.20152511296547,0.230310809168747,0.479584585235242,1.88464696104015,NA,NA,NA,NA,NA,NA
"17","base_gps",17,225.230392161415,9.23296671227903,0.997179339896891,104.514845122509,6.37662992918322,0.534897821504066,-0.219672009746721,4.03445933947606,0.41926201719529,0.392059267041446,20.6990658226175,0.363502550718901,NA,NA,NA,NA,NA,NA
"18","base_gps",18,261.890280755647,136.830112054328,1.02002393521334,73.8018995600092,98.5419176524092,0.527150864367284,-0.18908264262285,0.96008289766498,-2.64234562431699,0.160517330199287,0.168213564631962,0.125798868142075,NA,NA,NA,NA,NA,NA
"19","base_gps",19,262.762660760387,164.133927422365,0.942808847661513,61.8714654812597,98.6168672645004,0.547601863894085,-1.16682541899027,-0.30664738097183,2.72744392660581,0.0741810224626893,0.337756653350077,0.175925205775661,NA,NA,NA,NA,NA,NA
"20","base_gps",20,225.678375980976,27.4556593964396,0.962106257077116,106.701135853143,1.27814665932652,0.525010018588189,-0.155137175371105,4.26188495262827,1.12975746741906,0.114793278363412,0.325088362721673,0.0876089513300388,NA,NA,NA,NA,NA,NA
"21","coarse",1,249.428859485756,112.920691353703,0.9442012064867,97.577971252248,84.833183726849,0.497813368398411,2.31320107615515,-1.63399260063824,1.56492171943022,0.0325250440190323,0.252829032126707,0.15154110016944,0.253844034067934,0.343470574457746,0.214009540176717,0.207448339108782,0.284423514990927,0.213357210959441
"22","coarse",2,241.641104061602,63.9554681149935,0.970044295105302,107.55686655642,23.88152146944,0.588057504744771,0.0758205103877961,-2.10489942523454,-3.03361054560105,0.272643864549525,1.17229909792884,0.168303690289258,0.258730284554369,0.285025068790619,0.23317861160943,0.20853147541595,0.0405666372093282,0.228695621361562
"23","coarse",3,278.159033870124,146.760292193504,0.977580708288429,63.7574906038142,84.2685367708195,0.55233352265727,-0.671362457855511,-2.44101842057142,0.319135636140039,5.58365106195651e-06,0.150116886741597,0.0243203579281181,0.281121511354421,0.233246901382995,0.223000215757476,0.241630564938128,0.197469330349031,0.231108301528593
"24","coarse",4,242.429181400487,117.913046610926,0.981904815314159,109.484357996255,109.544154952723,0.604273809128721,0.326658626292831,1.23201150647847,0.552207246051319,0.21879044379573,1.31347779916459,0.113398460258054,0.223639751303455,0.284877824794959,0.248180558427277,0.178299178852579,0.0444977256720051,0.236604492957986
