"","acc_base_gps","acc_coarse","acc_summary_mean","acc_summary_var","acc_summary_med","acc_summary_stats","acc_summary_density","acc_summary_quantile"
"1",0.616666666666667,0.621111111111111,1,1,1,1,0.997777777777778,1
"2",0.684444444444444,0.692222222222222,1,1,1,1,1,1
"3",0.684444444444444,0.687777777777778,1,0.997777777777778,1,1,1,1
"4",0.738888888888889,0.833333333333333,1,0.998888888888889,1,0.998888888888889,1,1
"5",0.763333333333333,0.736666666666667,1,1,1,1,0.997777777777778,0.998888888888889
"6",0.643333333333333,0.656666666666667,1,1,1,1,1,1
"7",0.633333333333333,0.638888888888889,1,1,1,1,1,1
"8",0.631111111111111,0.628888888888889,1,0.998888888888889,1,1,0.998888888888889,1
"9",0.686666666666667,0.837777777777778,1,0.998888888888889,1,1,1,1
"10",0.67,0.684444444444444,1,1,1,1,1,1
"11",0.72,0.716666666666667,1,1,1,1,1,1
"12",0.607777777777778,0.843333333333333,1,1,1,1,0.998888888888889,1
"13",0.728888888888889,0.734444444444444,1,1,1,1,0.998888888888889,0.998888888888889
"14",0.663333333333333,0.844444444444444,1,1,1,1,0.998888888888889,1
"15",0.605555555555556,0.842222222222222,1,0.998888888888889,1,1,1,1
"16",0.632222222222222,0.626666666666667,1,1,1,1,1,1
"17",0.817777777777778,0.836666666666667,1,0.998888888888889,1,1,1,0.998888888888889
"18",0.678888888888889,0.85,1,0.997777777777778,1,1,1,1
"19",0.613333333333333,0.617777777777778,1,1,1,1,1,1
"20",0.632222222222222,0.62,1,1,1,1,1,1
